# B01: 250 entries from AI.xml

## AI.xml|Anchorite
EN: Anchorite
UK: Анахорет

## AI.xml|Chieftess
EN: Chieftess
UK: Вождиня

## AI.xml|EmulatedMind0
EN: ANNA
UK: АННА

## AI.xml|EmulatedMind1
EN: ZERE
UK: ЗІРЕ

## AI.xml|EmulatedMind2
EN: YASMIN
UK: ЯСМІН

## AI.xml|EmulatedMind3
EN: EVELYN
UK: ЕВЕЛІН

## AI.xml|EmulatedMind4
EN: NNEDI
UK: ННЕДІ

## AI.xml|EmulatedMind5
EN: LUSA
UK: ЛУСА

## AI.xml|EmulatedMind6
EN: KARE
UK: КІРА

## AI.xml|EmulatedMind7
EN: IVY
UK: АЙВІ

## AI.xml|EmulatedMind8
EN: RUTH
UK: РУТ

## AI.xml|EmulatedMind9
EN: TARSA
UK: ТАРСА

## AI.xml|EmulatedMind10
EN: ZAIDA
UK: ЗАЇДА

## AI.xml|EmulatedMind11
EN: LAILA
UK: ЛАЇЛА

## AI.xml|EmulatedMind12
EN: OTILIA
UK: ОТІЛІА

## AI.xml|EmulatedMind13
EN: PAULINA
UK: ПАУЛІНА

## AI.xml|EmulatedMind14
EN: SETAREH
UK: СЕТАРІ

## AI.xml|EmulatedMind15
EN: BASIA
UK: БАСІА

## AI.xml|EmulatedMind16
EN: DESDEMONA
UK: ДЕЗДЕМОНА

## AI.xml|EmulatedMind17
EN: ISOBEL
UK: ІЗОБЕЛЬ

## AI.xml|EmulatedMind18
EN: MARTINA
UK: МАРТІНА

## AI.xml|EmulatedMind19
EN: SELMA
UK: СЕЛЬМА

## AI.xml|EmulatedMind20
EN: STEPHANIE
UK: СТЕФАНІ

## AI.xml|EmulatedMind21
EN: ZAHIRAH
UK: ЗАЇРА

## AI.xml|EmulatedMind22
EN: KRISTINA
UK: КРІСТІНА

## AI.xml|EmulatedMind23
EN: ELSPETH
UK: ЕЛЬСПЕТА

## AI.xml|EmulatedMind24
EN: GILLIAN
UK: ДЖІЛЛІАН

## AI.xml|EmulatedMind25
EN: HESTER
UK: ЕСТЕР

## AI.xml|EmulatedMind26
EN: KATHARINA
UK: КАТАРІНА

## AI.xml|EmulatedMind27
EN: LEAH
UK: ЛІЯ

## AI.xml|EmulatedMind28
EN: LILIANA
UK: ЛІЛІАНА

## AI.xml|EmulatedMind29
EN: MARISSA
UK: МАРІССА

## AI.xml|FallenSoldier0
EN: Archer
UK: Арчер

## AI.xml|FallenSoldier1
EN: Jerome
UK: Джером

## AI.xml|FallenSoldier2
EN: Iblis
UK: Ібліс

## AI.xml|FallenSoldier3
EN: Dean
UK: Дін

## AI.xml|FallenSoldier4
EN: Roland
UK: Роланд

## AI.xml|FallenSoldier5
EN: Vincent
UK: Вінсент

## AI.xml|FallenSoldier6
EN: Zane
UK: Зейн

## AI.xml|FallenSoldier7
EN: Seth
UK: Сет

## AI.xml|FallenSoldier8
EN: Cyrus
UK: Сайрус

## AI.xml|FallenSoldier9
EN: Matthew
UK: Метью

## AI.xml|FallenSoldier10
EN: Nolan
UK: Нолан

## AI.xml|FallenSoldier11
EN: Logan
UK: Логан

## AI.xml|FallenSoldier12
EN: Will
UK: Вілл

## AI.xml|FallenSoldier13
EN: Jace
UK: Джейс

## AI.xml|FallenSoldier14
EN: Tristan
UK: Трістан

## AI.xml|FallenSoldier15
EN: Blake
UK: Блейк

## AI.xml|FallenSoldier16
EN: Desmond
UK: Дезмонд

## AI.xml|FallenSoldier17
EN: Garrett
UK: Гарретт

## AI.xml|FallenSoldier18
EN: Gilbert
UK: Гілберт

## AI.xml|FallenSoldier19
EN: Donald
UK: Дональд

## AI.xml|FallenSoldier20
EN: Lucius
UK: Люціус

## AI.xml|FallenSoldier21
EN: Ezra
UK: Езра

## AI.xml|FallenSoldier22
EN: Tobias
UK: Тобіас

## AI.xml|FallenSoldier23
EN: Thane
UK: Тейн

## AI.xml|FallenSoldier24
EN: Brian
UK: Браян

## AI.xml|FallenSoldier25
EN: Caleb
UK: Калеб

## AI.xml|FallenSoldier26
EN: Gregory
UK: Грегорі

## AI.xml|FallenSoldier27
EN: Malcolm
UK: Малкольм

## AI.xml|FallenSoldier28
EN: Alexander
UK: Александер

## AI.xml|FallenSoldier29
EN: Adam
UK: Адам

## AI.xml|FurtiveTribunal0
EN: Sofia—Taisiya—Zoya
UK: Софія—Тамара—Зоя

## AI.xml|FurtiveTribunal1
EN: Naila—Alisa—Mila
UK: Ніка—Аліса—Міла

## AI.xml|FurtiveTribunal2
EN: Marta—Teodora—Luba
UK: Марта—Тетяна—Люба

## AI.xml|FurtiveTribunal3
EN: Fedora—Alina—Kasia
UK: Лідія—Аліна—Карина

## AI.xml|FurtiveTribunal4
EN: Vera—Ivanka—Maria
UK: Віра—Аврора—Марія

## AI.xml|FurtiveTribunal5
EN: Bilana—Anica—Irina
UK: Беата—Анфіса—Ірина

## AI.xml|FurtiveTribunal6
EN: Linara—Aleksandra—Svetlana
UK: Ілона—Анна—Вікторія

## AI.xml|FurtiveTribunal7
EN: Nikita—Andreya—Anastasiya
UK: Віолетта—Світлана—Анастасія

## AI.xml|FurtiveTribunal8
EN: Katerina—Yelena—Lydia
UK: Катерина—Єва—Ліка

## AI.xml|FurtiveTribunal9
EN: Jelena—Aigul—Fiala
UK: Олена—Алла—Регіна

## AI.xml|FurtiveTribunal10
EN: Anya—Varvara—Tamara
UK: Анжела—Варвара—Уляна

## AI.xml|FurtiveTribunal11
EN: Vasilisa—Olena—Vanda
UK: Василіса—Олімпіада—Галина

## AI.xml|FurtiveTribunal12
EN: Nadezhda—Sasha—Zoya
UK: Надія—Саша—Владислава

## AI.xml|FurtiveTribunal13
EN: Irina—Katia—Nadia
UK: Ірена—Камілла—Юлія

## AI.xml|FurtiveTribunal14
EN: Natalia—Viktoriya—Zlata
UK: Наталія—Белла—Злата

## AI.xml|FurtiveTribunal15
EN: Alenka—Galina—Viktoria
UK: Аріна—Роза—Поліна

## AI.xml|FurtiveTribunal16
EN: Nastasya—Svetlana—Yekaterina
UK: Настасья—Світлана—Катерина

## AI.xml|FurtiveTribunal17
EN: Ekaterina—Elizaveta—Irinushka
UK: Соня—Єлизавета—Раїса

## AI.xml|FurtiveTribunal18
EN: Dasha—Nadezhda—Valeriya
UK: Даша—Ярослава—Валерія

## AI.xml|FurtiveTribunal19
EN: Kseniya—Lyudmila—Veronika
UK: Ксенія—Марина—Зінаїда

## AI.xml|FurtiveTribunal20
EN: Anna—Elizaveta—Nadezhda
UK: Діана—Сніжана—Настя

## AI.xml|FurtiveTribunal21
EN: Darya—Alyona—Varvara
UK: Дар’я—Євгенія—Владлена

## AI.xml|FurtiveTribunal22
EN: Anfisa—Maria—Lidiya
UK: Рита—Ліза—Валентина

## AI.xml|FurtiveTribunal23
EN: Tatiana—Elizaveta—Kseniya
UK: Жанна—Олександра—Лариса

## AI.xml|FurtiveTribunal24
EN: Elena—Galina—Svetlana
UK: Елеонора—Мирослава—Стелла

## AI.xml|FurtiveTribunal25
EN: Nadia—Olga—Zoya
UK: Крістіна—Ольга—Лада

## AI.xml|FurtiveTribunal26
EN: Elena—Lyudmila—Nadezhda
UK: Оксана—Людмила—Альбіна

## AI.xml|FurtiveTribunal27
EN: Lyubov—Natalia—Lyudmila
UK: Маргарита—Яна—Вероніка

## AI.xml|HeartlessArtificer0
EN: Amadea
UK: Амадея

## AI.xml|HeartlessArtificer1
EN: Marye
UK: Мар’є

## AI.xml|HeartlessArtificer2
EN: Tsega
UK: Цега

## AI.xml|HeartlessArtificer3
EN: Sisay
UK: Сісейє

## AI.xml|HeartlessArtificer4
EN: Fantu
UK: Фанту

## AI.xml|HeartlessArtificer5
EN: Zewde
UK: Зевде

## AI.xml|HeartlessArtificer6
EN: Tayye
UK: Таїйє

## AI.xml|HeartlessArtificer7
EN: Loa
UK: Лоа

## AI.xml|HeartlessArtificer8
EN: Kelile
UK: Келіле

## AI.xml|HeartlessArtificer9
EN: Biniam
UK: Біньям

## AI.xml|HeartlessArtificer10
EN: Njambi
UK: Нджамбі

## AI.xml|HeartlessArtificer11
EN: Jazarah
UK: Джазара

## AI.xml|HeartlessArtificer12
EN: Makeda
UK: Македа

## AI.xml|HeartlessArtificer13
EN: Asnath
UK: Аснат

## AI.xml|HeartlessArtificer14
EN: Hawa
UK: Хава

## AI.xml|HeartlessArtificer15
EN: Naima
UK: Наїма

## AI.xml|HeartlessArtificer16
EN: Amina
UK: Аміна

## AI.xml|HeartlessArtificer17
EN: Sarai
UK: Сарра

## AI.xml|HeartlessArtificer18
EN: Ruth
UK: Руфь

## AI.xml|HeartlessArtificer19
EN: Naomi
UK: Наомі

## AI.xml|HeartlessArtificer20
EN: Leah
UK: Лея

## AI.xml|HeartlessArtificer21
EN: Rachel
UK: Рахіль

## AI.xml|HeartlessArtificer22
EN: Esther
UK: Есфір

