# B02: 250 entries from AI.xml, Actions.xml

## AI.xml|InfiniteCount32
EN: Di Viago
UK: Ді Віаго

## AI.xml|InfiniteCount33
EN: Di Sanguini
UK: Ді Сангіні

## AI.xml|InfiniteCount34
EN: De Varney
UK: Де Варні

## AI.xml|InfiniteCount35
EN: De Cullen
UK: Де Каллен

## AI.xml|InfiniteCount36
EN: Von Varozich
UK: Фон Варожіч

## AI.xml|InfiniteCount37
EN: Von Orlok
UK: Фон Орлок

## AI.xml|InfiniteCount38
EN: De Saint-Germain
UK: Де Сен-Жермен

## AI.xml|PlatinumScion0
EN: Daed
UK: Даед

## AI.xml|PlatinumScion1
EN: Forbes
UK: Форбс

## AI.xml|PlatinumScion2
EN: Wrathfeller
UK: Ротфеллер

## AI.xml|PlatinumScion3
EN: Goelet
UK: Гоелет

## AI.xml|PlatinumScion4
EN: Cox
UK: Кокс

## AI.xml|PlatinumScion5
EN: Fugger
UK: Фуггер

## AI.xml|PlatinumScion6
EN: Krumpf
UK: Крампф

## AI.xml|PlatinumScion7
EN: Buffett
UK: Баффет

## AI.xml|PlatinumScion8
EN: Rockeschild
UK: Рокшильд

## AI.xml|PlatinumScion9
EN: Morburg
UK: Морбург

## AI.xml|PlatinumScion10
EN: Wargan
UK: Варган

## AI.xml|PlatinumScion11
EN: Dalio
UK: Даліо

## AI.xml|PlatinumScion12
EN: Daimon
UK: Деймон

## AI.xml|PlatinumScion13
EN: Astor
UK: Астор

## AI.xml|PlatinumScion14
EN: Barnum
UK: Барнум

## AI.xml|PlatinumScion15
EN: Bloodgood
UK: Бладгуд

## AI.xml|PlatinumScion16
EN: Burrill
UK: Берілл

## AI.xml|PlatinumScion17
EN: Carnochan
UK: Карнохен

## AI.xml|PlatinumScion18
EN: Vandervelt
UK: Вандервельт

## AI.xml|PlatinumScion19
EN: Roosebilt
UK: Рузбільт

## AI.xml|PlatinumScion20
EN: Livinghorn
UK: Лівінгхорн

## AI.xml|PlatinumScion21
EN: Schermerston
UK: Шермерстон

## AI.xml|PlatinumScion22
EN: Rudin
UK: Радін

## AI.xml|PlatinumScion23
EN: Durst
UK: Дерст

## AI.xml|PlatinumScion24
EN: Rosenick
UK: Роузнік

## AI.xml|PlatinumScion25
EN: Tishstein
UK: Тішстайн

## AI.xml|PlatinumScion26
EN: Milman
UK: Мілман

## AI.xml|PlatinumScion27
EN: Oelrichs
UK: Оельрікс

## AI.xml|PlatinumScion28
EN: Kochran
UK: Кокран

## AI.xml|PlatinumScion29
EN: Depew
UK: Депью

## AI.xml|Neutral
EN: Neutral
UK: Нейтральна сторона

## AI.xml|PracticalRomantic0
EN: Moourad
UK: Мурад

## AI.xml|PracticalRomantic1
EN: Saladin
UK: Салах ад-Дін

## AI.xml|PracticalRomantic2
EN: Faiza
UK: Фаїза

## AI.xml|PracticalRomantic3
EN: Suleiman
UK: Сулейман

## AI.xml|PracticalRomantic4
EN: Hannan
UK: Ханнан

## AI.xml|PracticalRomantic5
EN: Baqir
UK: Бакір

## AI.xml|PracticalRomantic6
EN: Jalil
UK: Джаліль

## AI.xml|PracticalRomantic7
EN: Kalif
UK: Каліф

## AI.xml|PracticalRomantic8
EN: Yacoub
UK: Якуб

## AI.xml|PracticalRomantic9
EN: Qamar
UK: Камар

## AI.xml|PracticalRomantic10
EN: Nabil
UK: Набіль

## AI.xml|PracticalRomantic11
EN: Latif
UK: Латіф

## AI.xml|PracticalRomantic12
EN: Tahar
UK: Тахар

## AI.xml|PracticalRomantic13
EN: Mustafa
UK: Мустафа

## AI.xml|PracticalRomantic14
EN: Amir
UK: Амір

## AI.xml|PracticalRomantic15
EN: Hussein
UK: Хусейн

## AI.xml|PracticalRomantic16
EN: Jamal
UK: Джамал

## AI.xml|PracticalRomantic17
EN: Faris
UK: Фаріс

## AI.xml|PracticalRomantic18
EN: Rashid
UK: Рашид

## AI.xml|PracticalRomantic19
EN: Malik
UK: Малік

## AI.xml|PracticalRomantic20
EN: Dawud
UK: Дауд

## AI.xml|PracticalRomantic21
EN: Ahmad
UK: Ахмед

## AI.xml|PracticalRomantic22
EN: Yassin
UK: Яссін

## AI.xml|PracticalRomantic23
EN: Aziz
UK: Азіз

## AI.xml|PracticalRomantic24
EN: Ghassan
UK: Гассан

## AI.xml|PracticalRomantic25
EN: Karim
UK: Карім

## AI.xml|PracticalRomantic26
EN: Nasser
UK: Насер

## AI.xml|PracticalRomantic27
EN: Basem
UK: Басім

## AI.xml|PracticalRomantic28
EN: Said
UK: Саїд

## AI.xml|PracticalRomantic29
EN: Adil
UK: Аділь

## AI.xml|PracticalRomantic30
EN: Fahd
UK: Фахд

## AI.xml|PracticalRomantic31
EN: Hamza
UK: Хамза

## AI.xml|PracticalRomantic32
EN: Walid
UK: Валід

## AI.xml|RogueOperative0
EN: Zetian
UK: Цзетянь

## AI.xml|RogueOperative1
EN: Siniang
UK: Сінян

## AI.xml|RogueOperative2
EN: Cixi
UK: Цисі

## AI.xml|RogueOperative3
EN: Zhenyi
UK: Чжені

## AI.xml|RogueOperative4
EN: Ching Ling
UK: Цінлін

## AI.xml|RogueOperative5
EN: Pingyang
UK: Піньян

## AI.xml|RogueOperative6
EN: Mingxia
UK: Мінся

## AI.xml|RogueOperative7
EN: Ching Mui
UK: Цзінмуй

## AI.xml|RogueOperative8
EN: Xun Guan
UK: Сюньгуань

## AI.xml|RogueOperative9
EN: Peipu
UK: Пейпу

## AI.xml|RogueOperative10
EN: Fu Ling
UK: Фулін

## AI.xml|RogueOperative11
EN: Liangchun
UK: Лянчунь

## AI.xml|RogueOperative12
EN: Qiuxiang
UK: Цюсян

## AI.xml|RogueOperative13
EN: Linglin
UK: Лінлінь

## AI.xml|RogueOperative14
EN: Hui'an
UK: Хейань

## AI.xml|RogueOperative15
EN: Jiaxin
UK: Цзясінь

## AI.xml|RogueOperative16
EN: Yufen
UK: Юйфень

## AI.xml|RogueOperative17
EN: Wenxin
UK: Веньсінь

## AI.xml|RogueOperative18
EN: Ni
UK: Ні

## AI.xml|RogueOperative19
EN: Lin
UK: Лінь

## AI.xml|RogueOperative20
EN: Ouyang
UK: Оуян

## AI.xml|RogueOperative21
EN: Xiahou
UK: Сяхоу

## AI.xml|RogueOperative22
EN: Huoshan
UK: Хошань

## AI.xml|RogueOperative23
EN: Duanmu
UK: Дуаньму

## AI.xml|RogueOperative24
EN: Huarong
UK: Хуарон

## AI.xml|RogueOperative25
EN: Liuxia
UK: Люсян

## AI.xml|RogueOperative26
EN: Jixing
UK: Цзісін

## AI.xml|RogueOperative27
EN: Liyuanjia
UK: Ліюаньцзя

## AI.xml|RogueOperative28
EN: Xia
UK: Ся

## AI.xml|RogueOperative29
EN: Jia
UK: Цзя

## AI.xml|SyncreticDeva0
EN: Singh-Satori
UK: Сінгх-Саторі

## AI.xml|SyncreticDeva1
EN: Tanwir
UK: Танвір

## AI.xml|SyncreticDeva2
EN: Libertatia-Bodhi
UK: Лібертатія-Бодхі

## AI.xml|SyncreticDeva3
EN: Kae-Uchim
UK: Кае-Учім

## AI.xml|SyncreticDeva4
EN: Rao-Qifa
UK: Рао-Кіфа

## AI.xml|SyncreticDeva5
EN: Joshi-Rivelazione
UK: Джоші-Рівелаціоне

## AI.xml|SyncreticDeva6
EN: Mahatma-Khan
UK: Махатма-Хан

## AI.xml|SyncreticDeva7
EN: Agarwal-Albert
UK: Аґарвал-Альберт

## AI.xml|SyncreticDeva8
EN: Reddy-Russell
UK: Редді-Рассел

## AI.xml|SyncreticDeva9
EN: Sharma-Rankin
UK: Шарма-Ранкін

## AI.xml|SyncreticDeva10
EN: Patel-Baez
UK: Патель-Баез

## AI.xml|SyncreticDeva11
EN: Das-Tutu
UK: Дас-Туту

## AI.xml|SyncreticDeva12
EN: Iyer-More
UK: Айєр-Мор

## AI.xml|SyncreticDeva13
EN: Renouvier-Singh
UK: Ренув’є-Сінгх

## AI.xml|SyncreticDeva14
EN: Chakraborty-Hus
UK: Чакраборті-Гус

## AI.xml|SyncreticDeva15
EN: Sharma-Muntzer
UK: Шарма-Мюнцер

## AI.xml|SyncreticDeva16
EN: Das-Campanella
UK: Дас-Кампанелла

## AI.xml|SyncreticDeva17
EN: Kulkarni-Meslier
UK: Кулкарні-Меньє

## AI.xml|SyncreticDeva18
EN: Morelly-Patil
UK: Мореллі-Патіл

## AI.xml|SyncreticDeva19
EN: Chaturvedi-Mably
UK: Чатурведі-Маблі

## AI.xml|SyncreticDeva20
EN: Nair-Winstanley
UK: Наїр-Вінстенлі

## AI.xml|SyncreticDeva21
EN: Babeufjee-na
UK: Бабефджі-на

## AI.xml|SyncreticDeva22
EN: Blanquivedi-Jaar
UK: Бланківеді-Джаар

## AI.xml|SyncreticDeva23
EN: Sant-Simon
UK: Сант-Сімон

## AI.xml|SyncreticDeva24
EN: Guru-Fourier
UK: Ґуру-Фур’є

## AI.xml|SyncreticDeva25
EN: Muni-Lamennais
UK: Муні-Ламенне

## AI.xml|SyncreticDeva26
EN: Kabir-Proudhon
UK: Кабір-Прудон

## AI.xml|SyncreticDeva27
EN: Yogi Almodovar
UK: Йоґі Альмодовар

## AI.xml|SyncreticDeva28
EN: Sadhu Bloch
UK: Садху Блох

## AI.xml|SyncreticDeva29
EN: Godman-Goldman
UK: Ґодман-Ґолдман

## AI.xml|SyncreticDeva30
EN: Apostle-San
UK: Апостол-Сан

## AI.xml|SyncreticDeva31
EN: The Father
UK: Отець

## AI.xml|SyncreticDeva32
EN: Humility-Vinaya
UK: Смирення-Вінайя

## AI.xml|SyncreticDeva33
EN: Saens-Sant
UK: Саенс-Сант

## AI.xml|TwistedMother0
EN: Misery
UK: Печаль

## AI.xml|TwistedMother1
EN: Sorrow
UK: Зневіра

## AI.xml|TwistedMother2
EN: Anguish
UK: Мука

## AI.xml|TwistedMother3
EN: Woe
UK: Нещастя

## AI.xml|TwistedMother4
EN: Heartache
UK: Страдання

## AI.xml|TwistedMother5
EN: Dolor
UK: Скорбота

## AI.xml|TwistedMother6
EN: Melancholia
UK: Меланхолія

## AI.xml|TwistedMother7
EN: Rue
UK: Каяття

## AI.xml|TwistedMother8
EN: Chagrin
UK: Образа

## AI.xml|TwistedMother9
EN: Catatonia
UK: Кататонія

## AI.xml|TwistedMother10
EN: Lament
UK: Жалоба

## AI.xml|TwistedMother11
EN: Infelicity
UK: Невдача

## AI.xml|TwistedMother12
EN: Nemesis
UK: Біда

## AI.xml|TwistedMother13
EN: Ruin
UK: Загибель

## AI.xml|TwistedMother14
EN: Blues
UK: Туга

## AI.xml|TwistedMother15
EN: Torment
UK: Тортури

## AI.xml|TwistedMother16
EN: Mulligrubs
UK: Гіркота

## AI.xml|TwistedMother17
EN: Ennui
UK: Апатія

## AI.xml|TwistedMother18
EN: Megrim
UK: Спустошеність

## AI.xml|TwistedMother19
EN: Agita
UK: Досада

## AI.xml|TwistedMother20
EN: Dither
UK: Збентеження

## AI.xml|TwistedMother21
EN: Fret
UK: Упадок духу

## AI.xml|TwistedMother22
EN: Qualm
UK: Сумнів

## AI.xml|TwistedMother23
EN: Envy
UK: Заздрість

## AI.xml|TwistedMother24
EN: Quivers
UK: Мучення

## AI.xml|TwistedMother25
EN: Shiver
UK: Тремтіння

## AI.xml|TwistedMother26
EN: Ache
UK: Стогін

## AI.xml|TwistedMother27
EN: Grief
UK: Горе

## AI.xml|TwistedMother28
EN: Longing
UK: Туга

## AI.xml|TwistedMother29
EN: Regret
UK: Жаль

## AI.xml|TwistedMother30
EN: Bale
UK: Жовч

## AI.xml|TwistedMother31
EN: Dirge
UK: Паніхида

## AI.xml|TwistedMother32
EN: Pother
UK: Знущання

## AI.xml|TwistedMother33
EN: Plaint
UK: Скарга

## AI.xml|UntoldProphet0
EN: Adelelmus
UK: Аделельмус

## AI.xml|UntoldProphet1
EN: Xavier
UK: Ксав’єр

## AI.xml|UntoldProphet2
EN: Prudencio
UK: Пруденсіо

## AI.xml|UntoldProphet3
EN: Olegarious
UK: Олегаріос

## AI.xml|UntoldProphet4
EN: Quixote
UK: Кіхот

## AI.xml|UntoldProphet5
EN: Ignatius
UK: Ігнатіус

## AI.xml|UntoldProphet6
EN: Dominica
UK: Домініка

## AI.xml|UntoldProphet7
EN: Columba
UK: Колумба

## AI.xml|UntoldProphet8
EN: Paschal
UK: Паскаль

## AI.xml|UntoldProphet9
EN: Josephia
UK: Жозефія

## AI.xml|UntoldProphet10
EN: Rosa
UK: Роза

## AI.xml|UntoldProphet11
EN: Cristobal
UK: Крістобаль

## AI.xml|UntoldProphet12
EN: Tomas
UK: Тома

## AI.xml|UntoldProphet13
EN: Isabela
UK: Ізабела

## AI.xml|UntoldProphet14
EN: Francisca
UK: Франциска

## AI.xml|UntoldProphet15
EN: Juan
UK: Хуан

## AI.xml|UntoldProphet16
EN: Pedro
UK: Педро

## AI.xml|UntoldProphet17
EN: Miguel
UK: Мігель

## AI.xml|UntoldProphet18
EN: Luis
UK: Луїс

## AI.xml|UntoldProphet19
EN: Carmen
UK: Кармен

## AI.xml|UntoldProphet20
EN: Ines
UK: Інес

## AI.xml|UntoldProphet21
EN: Manuel
UK: Мануель

## AI.xml|UntoldProphet22
EN: Concepcion
UK: Консепсьйон

## AI.xml|UntoldProphet23
EN: Francisco
UK: Франциско

## AI.xml|UntoldProphet24
EN: Jorge
UK: Хорхе

## AI.xml|UntoldProphet25
EN: Rafael
UK: Рафаель

## AI.xml|UntoldProphet26
EN: Antonio
UK: Антоніо

## AI.xml|UntoldProphet27
EN: Guadalupe
UK: Гваделупе

## AI.xml|UntoldProphet28
EN: Juana
UK: Хуана

## AI.xml|UntoldProphet29
EN: Margarita
UK: Маргарита

## AI.xml|UntoldProphet30
EN: Dolores
UK: Долорес

## AI.xml|UntoldProphet31
EN: Jose
UK: Хосе

## AI.xml|UntoldProphet32
EN: Patricia
UK: Патрісія

## AI.xml|Zephon
EN: ZEPHON
UK: ЗЕФОН

## Actions.xml|AblativeShell
EN: Ablative Shell
UK: Абляційна оболонка

## Actions.xml|AbyssalRage
EN: Abyssal Rage
UK: Лють Безодні

## Actions.xml|AcquireTile
EN: Acquire Tile
UK: Приєднання клітинки

## Actions.xml|AcquireTileProperties
EN: <icon texture='GUI/Bullet'/>Acquires target ground tile up to %1% tiles away from the <icon height='20' texture='Icons/Buildings/Headquarters'/> Headquarters<br/>
    <icon texture='GUI/Bullet'/>Buildings can only be built on acquired tiles<br/>
    <icon texture='GUI/Bullet'/>Each building requires a free <icon height='20' texture='Icons/Attributes/BuildingSlots'/> building slot<br/>
    <icon texture='GUI/Bullet'/>Each acquired tile has %2% <icon height='20' texture='Icons/Attributes/Influence'/> influence upkeep
