# B08: 250 entries from Cities.xml

## Cities.xml|HeartlessArtificer2
EN: Golem
UK: Голем

## Cities.xml|HeartlessArtificer3
EN: Nephele
UK: Нефела

## Cities.xml|HeartlessArtificer4
EN: Shabti
UK: Ушебті

## Cities.xml|HeartlessArtificer5
EN: Tilberi
UK: Тильбері

## Cities.xml|HeartlessArtificer6
EN: Tulpa
UK: Тульпа

## Cities.xml|HeartlessArtificer7
EN: Tokeloshe
UK: Токелоше

## Cities.xml|HeartlessArtificer8
EN: Tupilaq
UK: Тупілак

## Cities.xml|HeartlessArtificer9
EN: Homunculus
UK: Гомункул

## Cities.xml|HeartlessArtificer10
EN: Serashi
UK: Сераші

## Cities.xml|HeartlessArtificer11
EN: Migibari
UK: Мігібарі

## Cities.xml|HeartlessArtificer12
EN: Tikikilenyaneti
UK: Тікікіленьянеті

## Cities.xml|HeartlessArtificer13
EN: Jengu
UK: Дженгу

## Cities.xml|HeartlessArtificer14
EN: Kongamato
UK: Конгамато

## Cities.xml|HeartlessArtificer15
EN: Ninki Nanka
UK: Нінкі-Нанка

## Cities.xml|HeartlessArtificer16
EN: Nkisi
UK: Нкісі

## Cities.xml|HeartlessArtificer17
EN: Oshun
UK: Ошун

## Cities.xml|HeartlessArtificer18
EN: Sekhmet
UK: Сехмет

## Cities.xml|HeartlessArtificer19
EN: Wadj-Wert
UK: Уадж-Вер

## Cities.xml|HeartlessArtificer20
EN: Zumbi
UK: Зумбі

## Cities.xml|HeartlessArtificer21
EN: Abatwa
UK: Абатва

## Cities.xml|HeartlessArtificer22
EN: Adze
UK: Адзе

## Cities.xml|HeartlessArtificer23
EN: Alkebulan
UK: Алкебулан

## Cities.xml|HeartlessArtificer24
EN: Asiman
UK: Асиман

## Cities.xml|HeartlessArtificer25
EN: Zuvembie
UK: Зувембі

## Cities.xml|HeartlessArtificer26
EN: Chimera
UK: Химера

## Cities.xml|HeartlessArtificer27
EN: Cynocephalus
UK: Псиглав

## Cities.xml|HeartlessArtificer28
EN: Luxor
UK: Луксор

## Cities.xml|HeartlessArtificer29
EN: Karnak
UK: Карнак

## Cities.xml|HeartlessArtificer30
EN: Tep-Renpet
UK: Теп-Ренпет

## Cities.xml|HeartlessArtificer31
EN: Shetaut Netjeru
UK: Шетут-Нетеру

## Cities.xml|HeartlessArtificer32
EN: Khepri
UK: Хепрі

## Cities.xml|HeartlessArtificer33
EN: Neheh
UK: Нехе

## Cities.xml|HeartlessArtificer34
EN: Iunu
UK: Іуну

## Cities.xml|HeartlessArtificer35
EN: Ujima
UK: Уджима

## Cities.xml|HeartlessArtificer36
EN: Nguzo Saba
UK: Нгузо-Саба

## Cities.xml|HeartlessArtificer37
EN: Ujamaa
UK: Уджамаа

## Cities.xml|HeartlessArtificer38
EN: Adinkra
UK: Адинкра

## Cities.xml|HeartlessArtificer39
EN: Djenne
UK: Дженне

## Cities.xml|HeartlessArtificer40
EN: Kanem
UK: Канем

## Cities.xml|HeartlessArtificer41
EN: Elmina
UK: Елміна

## Cities.xml|HollowWarlord0
EN: Bad Baulk
UK: Бед-Болк

## Cities.xml|HollowWarlord1
EN: Crushtown
UK: Краштаун

## Cities.xml|HollowWarlord2
EN: Gopnik Bezst
UK: Гопник-Бешт

## Cities.xml|HollowWarlord3
EN: Trounce
UK: Траунс

## Cities.xml|HollowWarlord4
EN: Strutstymie
UK: Стратстімі

## Cities.xml|HollowWarlord5
EN: Bailiwick
UK: Бейлівік

## Cities.xml|HollowWarlord6
EN: Kinesbotch
UK: Кайнсботч

## Cities.xml|HollowWarlord7
EN: Glycoburg
UK: Глікобург

## Cities.xml|HollowWarlord8
EN: Viicaya Alcazar
UK: Віїкайя-Алказар

## Cities.xml|HollowWarlord9
EN: Fasthold Gym
UK: Фастхолд-Джим

## Cities.xml|HollowWarlord10
EN: Twitch Rocca
UK: Твітч-Рокка

## Cities.xml|HollowWarlord11
EN: Bermblow
UK: Бермблоу

## Cities.xml|HollowWarlord12
EN: Barbizan
UK: Барбізан

## Cities.xml|HollowWarlord13
EN: Fortalice
UK: Форталайс

## Cities.xml|HollowWarlord14
EN: Plume Redoubt
UK: Плюм-Редут

## Cities.xml|HollowWarlord15
EN: Presidiojo
UK: Пресидьйожо

## Cities.xml|HollowWarlord16
EN: The Bullwork
UK: Буллворк

## Cities.xml|HollowWarlord17
EN: Iso Laager
UK: Ісо-Лаагер

## Cities.xml|HollowWarlord18
EN: Stationne
UK: Стейшіонн

## Cities.xml|HollowWarlord19
EN: Hooktch
UK: Хукч

## Cities.xml|HollowWarlord20
EN: Snatchshiel
UK: Снетчшил

## Cities.xml|HollowWarlord21
EN: Pique Cuartel
UK: Пік-Куартел

## Cities.xml|HollowWarlord22
EN: Jerk’s Ranch
UK: Джерк-Ренч

## Cities.xml|HollowWarlord23
EN: Cock’s Roost
UK: Кокс-Руст

## Cities.xml|HollowWarlord24
EN: The Squat
UK: Скуот

## Cities.xml|HollowWarlord25
EN: Crunch Circuit
UK: Кранч-Серкут

## Cities.xml|HollowWarlord26
EN: Sarco Station
UK: Сарко-Стейшен

## Cities.xml|HollowWarlord27
EN: Primp Eyrie
UK: Примп-Айрі

## Cities.xml|HollowWarlord28
EN: Plyo Balance
UK: Пліо-Беленс

## Cities.xml|HollowWarlord29
EN: Adductor
UK: Еддактор

## Cities.xml|HonorableAristocrat0
EN: Umebachi
UK: Умебахі

## Cities.xml|HonorableAristocrat1
EN: Propolditz
UK: Прополдитц

## Cities.xml|HonorableAristocrat2
EN: Osterlah
UK: Остерлях

## Cities.xml|HonorableAristocrat3
EN: Grobming
UK: Гробмінґ

## Cities.xml|HonorableAristocrat4
EN: Schaarnterel
UK: Шаарнтерель

## Cities.xml|HonorableAristocrat5
EN: Bad Hallschow
UK: Бад-Халльшоу

## Cities.xml|HonorableAristocrat6
EN: Ortolandt
UK: Ортоляндт

## Cities.xml|HonorableAristocrat7
EN: Tiarasari
UK: Тіарасарі

## Cities.xml|HonorableAristocrat8
EN: Zwiehemmisch
UK: Цвегемміш

## Cities.xml|HonorableAristocrat9
EN: Sattfähr
UK: Заттфер

## Cities.xml|HonorableAristocrat10
EN: Trösti
UK: Трьостій

## Cities.xml|HonorableAristocrat11
EN: Steyrmold
UK: Штайрмольд

## Cities.xml|HonorableAristocrat12
EN: Kaisersteig
UK: Кайзерштайґ

## Cities.xml|HonorableAristocrat13
EN: Allentnüsse
UK: Аллентюссе

## Cities.xml|HonorableAristocrat14
EN: St Donauheim
UK: Сент-Донаухайм

## Cities.xml|HonorableAristocrat15
EN: Eisenburg
UK: Айзенбурґ

## Cities.xml|HonorableAristocrat16
EN: Grafenmauer
UK: Ґрафенмауер

## Cities.xml|HonorableAristocrat17
EN: Mistelkamp
UK: Міштелькамп

## Cities.xml|HonorableAristocrat18
EN: Cassouleben
UK: Кассоулебен

## Cities.xml|HonorableAristocrat19
EN: Obersaladiehe
UK: Оберзаладіхе

## Cities.xml|HonorableAristocrat20
EN: Ratahorn
UK: Ратахорн

## Cities.xml|HonorableAristocrat21
EN: Leoben
UK: Леобен

## Cities.xml|HonorableAristocrat22
EN: Erdruhe
UK: Ердрюхе

## Cities.xml|HonorableAristocrat23
EN: Mallgnet
UK: Малльґнет

## Cities.xml|HonorableAristocrat24
EN: Wurstlisk
UK: Вурштліск

## Cities.xml|HonorableAristocrat25
EN: Voitshall
UK: Войтшалль

## Cities.xml|HonorableAristocrat26
EN: Durianscehn
UK: Дуріаншен

## Cities.xml|HonorableAristocrat27
EN: Rambutang
UK: Рамбутанґ

## Cities.xml|HonorableAristocrat28
EN: Wattenfeld
UK: Ваттенфельд

## Cities.xml|HonorableAristocrat29
EN: Longen
UK: Лонґен

## Cities.xml|HonorableAristocrat30
EN: Yuzenhausen
UK: Юзенгаузен

## Cities.xml|HonorableAristocrat31
EN: Lanfeldeck
UK: Ланфельдекк

## Cities.xml|HonorableAristocrat32
EN: Schrunschka
UK: Шруншка

## Cities.xml|ImperiousExonaut0
EN: Pioneerholm
UK: Піонергольм

## Cities.xml|ImperiousExonaut1
EN: Voyagerping
UK: Вояджерпінг

## Cities.xml|ImperiousExonaut2
EN: Sputfors
UK: Спутфорс

## Cities.xml|ImperiousExonaut3
EN: Korabala
UK: Корабала

## Cities.xml|ImperiousExonaut4
EN: Venera Gränna
UK: Венера-Гренна

## Cities.xml|ImperiousExonaut5
EN: Agenapad
UK: Агенапад

## Cities.xml|ImperiousExonaut6
EN: Alouette Landskap
UK: Алуетт-Ландскап

## Cities.xml|ImperiousExonaut7
EN: Valvela Län
UK: Вальвела-Лен

## Cities.xml|ImperiousExonaut8
EN: Stan Marco
UK: Стан-Марко

## Cities.xml|ImperiousExonaut9
EN: Karlsåriel
UK: Карлсоріель

## Cities.xml|ImperiousExonaut10
EN: Ny-sterix Kommune
UK: Ню-стерікс Комуне

## Cities.xml|ImperiousExonaut11
EN: Molnistad
UK: Молністад

## Cities.xml|ImperiousExonaut12
EN: Diamburg
UK: Діамбург

## Cities.xml|ImperiousExonaut13
EN: Deltaholm
UK: Дельтагольм

## Cities.xml|ImperiousExonaut14
EN: Surveyia
UK: Сервеїя

## Cities.xml|ImperiousExonaut15
EN: Diabèrg
UK: Діаберг

## Cities.xml|ImperiousExonaut16
EN: Spartapad
UK: Спартапад

## Cities.xml|ImperiousExonaut17
EN: Ohsumby
UK: Огсумбю

## Cities.xml|ImperiousExonaut18
EN: Marinland
UK: Маринланд

## Cities.xml|ImperiousExonaut19
EN: Shinsei Kalix
UK: Шінсей-Калікс

## Cities.xml|ImperiousExonaut20
EN: Kiruhuruna
UK: Кірухуруна

## Cities.xml|ImperiousExonaut21
EN: Zondiastad
UK: Зондіастад

## Cities.xml|ImperiousExonaut22
EN: Hongiahamn
UK: Гонгіагамн

## Cities.xml|ImperiousExonaut23
EN: Tournehättan
UK: Турнехеттан

## Cities.xml|ImperiousExonaut24
EN: Uplandia-Hjo
UK: Упландія-Йо

## Cities.xml|ImperiousExonaut25
EN: Adityavalla
UK: Адітьявалла

## Cities.xml|ImperiousExonaut26
EN: Chandrayasalla
UK: Чандраясалла

## Cities.xml|ImperiousExonaut27
EN: Euclid Provincia
UK: Евклід-Провінсія

## Cities.xml|ImperiousExonaut28
EN: Danureå
UK: Дануреа

## Cities.xml|ImperiousExonaut29
EN: Trosamazônia
UK: Тросамазонія

## Cities.xml|InfiniteCount0
EN: Transeste
UK: Транзешті

## Cities.xml|InfiniteCount1
EN: Sylvor
UK: Сільвор

## Cities.xml|InfiniteCount2
EN: Ora Zadania
UK: Ора-Заданія

## Cities.xml|InfiniteCount3
EN: Tempo Tristria
UK: Темпо-Трістрія

## Cities.xml|InfiniteCount4
EN: Capodeste
UK: Каподешті

## Cities.xml|InfiniteCount5
EN: Trolit
UK: Троліт

## Cities.xml|InfiniteCount6
EN: Fiustria
UK: Фіустрія

## Cities.xml|InfiniteCount7
EN: Spola
UK: Спола

## Cities.xml|InfiniteCount8
EN: Polgar Passando
UK: Полгар-Пассандо

## Cities.xml|InfiniteCount9
EN: Vigno
UK: Віньо

## Cities.xml|InfiniteCount10
EN: Labria
UK: Лабрія

## Cities.xml|InfiniteCount11
EN: Castello Secondo
UK: Кастелло-Секондо

## Cities.xml|InfiniteCount12
EN: Primo Zadermo
UK: Прімо-Задермо

## Cities.xml|InfiniteCount13
EN: Kotles Katun
UK: Котлес-Катун

## Cities.xml|InfiniteCount14
EN: Aronica
UK: Ароніка

## Cities.xml|InfiniteCount15
EN: Sirmograd
UK: Сірмоград

## Cities.xml|InfiniteCount16
EN: Sisium
UK: Сізіум

## Cities.xml|InfiniteCount17
EN: Mai Torda
UK: Маї-Торда

## Cities.xml|InfiniteCount18
EN: Mira Minuta
UK: Міра-Мінута

## Cities.xml|InfiniteCount19
EN: Livalbe
UK: Лівальбе

## Cities.xml|InfiniteCount20
EN: Aquerno Infinito
UK: Акверно-Інфініто

## Cities.xml|InfiniteCount21
EN: Aterila Istante
UK: Атеріла-Істанте

## Cities.xml|InfiniteCount22
EN: Ociola Giammai
UK: Осіола-Джаммаї

## Cities.xml|InfiniteCount23
EN: Mare Momento
UK: Маре-Моменто

## Cities.xml|InfiniteCount24
EN: L'Inter
UK: Л’Інтер

## Cities.xml|InfiniteCount25
EN: Campo di Fiore
UK: Кампо-ді-Фіоре

## Cities.xml|InfiniteCount26
EN: Sicco Stabulum
UK: Сікко-Стабулум

## Cities.xml|InfiniteCount27
EN: Io Attimo
UK: Іо-Аттімо

## Cities.xml|InfiniteCount28
EN: Fenza Sine
UK: Фенца-Сіне

## Cities.xml|InfiniteCount29
EN: Minabile
UK: Мінабіле

## Cities.xml|PlatinumScion0
EN: Sunvisage Spires
UK: Піки Зростання

## Cities.xml|PlatinumScion1
EN: Dividend Downs
UK: Витрати-Фоллз

## Cities.xml|PlatinumScion2
EN: Yieldport
UK: Офшор-Порт

## Cities.xml|PlatinumScion3
EN: Margin Ridge
UK: Ущелина Вкладень

## Cities.xml|PlatinumScion4
EN: Venture Reach
UK: Венчур-Річ

## Cities.xml|PlatinumScion5
EN: Monist Market
UK: Станція Ринку

## Cities.xml|PlatinumScion6
EN: Chairman's Quay
UK: Причал Капіталу

## Cities.xml|PlatinumScion7
EN: Platinum Gate
UK: Платинові Ворота

## Cities.xml|PlatinumScion8
EN: Promisewell
UK: Перспектівіль

## Cities.xml|PlatinumScion9
EN: Executive Heights
UK: Виконавчі Висоти

## Cities.xml|PlatinumScion10
EN: Scale Harbor
UK: Аутсорс-Харбор

## Cities.xml|PlatinumScion11
EN: Fulfillment Fields
UK: Прибуток-Філдс

## Cities.xml|PlatinumScion12
EN: Optics Station
UK: Менеджбург

## Cities.xml|PlatinumScion13
EN: Faceforge
UK: Кузня Іміджу

## Cities.xml|PlatinumScion14
EN: Mogul's Steppe
UK: Магнатогорськ

## Cities.xml|PlatinumScion15
EN: Aggregate Arcology
UK: Агрегатна Аркологія

## Cities.xml|PlatinumScion16
EN: Ship-It Yards
UK: Нью-Продакшен

## Cities.xml|PlatinumScion17
EN: Sunny Bench
UK: Утопія-Парк

## Cities.xml|PlatinumScion18
