Total Russian entries: 466
Total Ukrainian entries: 418
Missing entries: 48

Missing entries (Name | Russian Value):
========================================================================================================================
AblativeShellFlavor | Она не могла уцелеть после такого. Я точно это знал. Ружьё Гаусса обжигало руки, боезапас кончился, но сердце ушло в пятки, когда сфера сбросила слой обгоревшей брони, будто старую кожу. Затем она навела на меня свой глаз, и я услышал писк её лазерной батареи, а потом... Боль. Жгучая, нестерпимая боль.
AttackFunctionFlavor | Иногда приходилось наставить пушку на голову анашима, чтобы заставить его переключиться из режима атаки. Вот почему командовать должен кто-то, у кого больше двух извилин. Когда оставляешь всё на волю долбоклюев, то они лишь стараются сделать так, чтобы взрывы были покрупнее.
CloneWaveFlavor | Пока главный учёный корпорации «Спаарди» торчал в бункере, он доводил до совершенства процесс клонирования, до войны бывший под запретом. Он, конечно, хотел спасения человеческой расы, а не создания армий или рабов. Нам было не до такой роскоши... Он покончил с собой, увидев, как мы распорядились его исследованием.
EvadeFunctionFlavor | Едва мне удалось всадить пулю в живот этому анашиму, как он переключил режимы. После этого он уклонялся от каждого выстрела, смеясь надо мной, пока мы сражались среди обломков акринского корабля. Каждый промах для него был возможностью заново отрастить свою поганую плоть.
InfiniteFlavor | «У машин есть запасные батареи. У сквернавцев есть запасные органы», — продолжал бормотать бедный новобранец, пока я спасал его руку. Он так гордился своим первым убитым врагом, а потом сквернавцы поднялись и перебили его друзей. Я знал, что речь не просто о каких-то «запасных органах». Но его бы это никак не утешило.
IonDischargeFlavor | «ДЁРУ!» Я стряхнул с себя оцепенение и запрыгнул на башню «Крестоносца». Командир обливался потом. «Уничтожить этот якорь, или он нас зажарит!» Но было уже слишком поздно. Едва он договорил, якорь засветился как газоразрядная лампа, весь экипаж закричал, и...
JustShipItUpgrade2 | Отзыв продукции
JustShipItUpgrade2Flavor | Я триста лет не слышал выражение «патч первого дня». Мы же всё-таки так и не восстановили интернет. Но такой и была избранная Отпрыском стратегия по борьбе с дефицитом производства. Дешевле уже потом кое-как залатать дыры, чем заранее вкладываться в качественное оборудование.
JustShipItUpgrade2Properties | <string name='Actions/WordsOfTheProphetProperties'/>
MoveFunctionFlavor | Мигающий огонёк на спине у анашима был единственным предупреждением. Я успел увидеть, как один из этих гигантских уродов сделал рывок через открытое поле и превратил моего наводчика в котлету. Я и сам выжил только потому, что выродок не меньше меня удивился своей скорости.
PayResources/CarveFaceSun | Высечь своё лицо на солнце
PayResources/CarveFaceSunFlavor | <string name='Quests/TouchTheSky/Intro3'/>
PayResources/RepurposeFunds | Перенаправить средства
PayResources/RepurposeFundsFlavor | <string name='Quests/TouchTheSky/Intro2'/>
PayResources/UrsaMajor | Поддержать «Большую медведицу»
PayResources/UrsaMajorFlavor | <string name='Quests/CityInTheClouds/HuntForTheCitySuccess3'/>
PerfectForever | Вечное совершенство
PerfectForeverFlavor | Пожалуй, родись мы с Графом на пару веков раньше, я был бы распорядителем его псарни. Но в наши дни я сам был гончей. Он отдавал приказ, а я приносил добычу. Затем он что-то с ней делал, и в мир входило очередное времясосущее чудовище.
PersonalVisit | Личный визит
PersonalVisitFlavor | Опытные работники всегда выглядели напряжёнными, когда приходили мы с Отпрыском. «Мы знаем, во что выливается посещение босса», — сказала мне одна в начале смены. — «Больше работы, никаких перерывов, сжатые сроки — лишь бы убедить его в том, что мы делаем больше, чем на самом деле. Богатые идиоты любят, когда им лгут».
PlatinumScionAffinityUpgrade2 | Флагманский продукт
PlatinumScionAffinityUpgrade2Flavor | Я и не знал, что излюбленный титан Отпрыска станет ещё ужаснее, если на панелях будет выгравировано его лицо, а сам он будет играть мрачную версию старого рекламного джингла корпорации И.К.А.Р. Но он продавал не технику И.К.А.Р. Он продавал то, что хотел сделать самым ценным продуктом в пустошах: себя.
PsychicSpoor | Психотропный след
PsychicSpoorFlavor | Когда я сражался с ними бок о бок, эти твари казались мне благородными летунами, но по другую сторону... они были сущими монстрами. Чудовищными. Гнусными. Бывший биолог, который укрылся среди нас, выяснил, что они распространяют споры. Но таких он не видел никогда. Большинство спор — яд... а эти — галлюциноген. Реагируют на анандамид. Прямо как та дурь, что в самокрутках.
SeeAsISee | Видь, что вижу я
SeeAsISeeFlavor | ...и я вновь был в доме моей тёти, дядя поднимал ружьё... и я был в толпе, штурмующей ворота белоснежного здания... и я кричал, когда меня тащили из портового кабака на борт корабля, отправлявшегося в сущий ад... и я вновь вернулся в настоящее к разгневанному Графу — так я расплачивался за совершённую ошибку.
SmokeGrenade | Дымовая граната
SmokeGrenadeFlavor | Пронырливый ублюдок. Мы с этим рейнджером несколько дней охотились друг на друга. Наконец я выскакиваю прямо на него. И что он делает? Бросает одну из этих гранат и заполняет руины дымом. Если бы я не зацепил его и не нашёл его по каплям крови... сейчас бы он писал эти заметки, а не я.
StoneCrawl | Подземный ход
StoneCrawlFlavor | Опередить избранных Трокосом червей можно было лишь при помощи сейсмографов, вытащенных из старых университетов. Их приходилось отслеживать так же, как мы отслеживали землетрясения. Иначе единственным предупреждением была пыль, срывавшаяся с потолка... и нужно было очень постараться, чтобы успеть унести ноги, пока земля не разверзлась.
StormTarget | Направить бурю
StormTargetFlavor | <string name='Quests/StormOfStorms/TakeOverFacility'/>
TacticalInsertion | Тактическое внедрение
TacticalInsertionFlavor | «Откуда ты, мать твою, выскочил?!» Нет, я, конечно, был рад, что этот гад появился из ниоткуда, чтобы застрелить эгилльского копателя, который чуть не перегрыз мне глотку. Но коммандос, которые скрывались в тенях, меня пугали не меньше. Особенно дружелюбные.
TheSureThingLong | Беспроигрышный вариант (Большой)
